Designator,Footprint,Quantity,Value,LCSC Part #
B+1,2_3-1.5_2.5_1_1,1,B+,
B-1,2_3-1.5_2.5_1_1,1,B-,
"C1C2, C1N1",C_0402_JLC,2,10uF,
"C1I1, C2I1",C_0402_JLC,2,100nf,
ETA4054S1F1,ETA4054S2F,1,~,
LED1C1,XINGLIGHT XL-1608UBC-04,1,XINGLIGHT XL-1608UBC-04,
LED1N1,XINGLIGHT XL-1608UBC-04,1,XINGLIGHT XL-1608SURC-06,
MDBT50_1,MDBT50,1,MDBT50_52833,
"R1C1, R1N1, R2C1",R_0402_JLC,3,15k,
"R1U1, R2U1",R_0402_JLC,2,5.1k,
S1,GT-TC020B-H035-L05,1,~,
U1,ICM-42688-P,1,ICM-45686,
U2,HCTL HC-TYPE-C-16P-CB1.0,1,~,
U3,Paw-Connect_RevA_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,~,
U4,HCI 1532H4-32K768JWPDTSNL,1,~,
U5,CJS-1200TB,1,~,
