Designator,Mid X,Mid Y,Rotation,Layer
B+1,113.665,-92.583,0.0,top
B-1,122.363366,-92.456,0.0,top
C1C2,114.103695,-90.268497,180.0,top
C1I1,118.7624,-73.021,0.0,top
C1N1,116.98775,-88.882599,90.0,top
C2I1,122.8264,-71.624,0.0,top
ETA4054S1F1,113.918873,-87.954675,90.0,top
LED1C1,115.951,-86.36,90.0,top
LED1N1,117.094,-86.36,90.0,top
MDBT50_1,115.745,-80.8,90.0,top
R1C1,115.951,-88.9,90.0,top
R1N1,118.293376,-85.893363,270.0,top
R1U1,118.806183,-71.792006,345.0,top
R2C1,114.5032,-85.603519,0.0,top
R2U1,114.215369,-72.156074,0.0,top
S1,122.048,-87.884,90.0,top
U1,121.282705,-73.914,180.0,top
U2,116.586,-67.475901,180.0,top
U4,115.097214,-74.533011,0.0,top
U5,118.11,-91.567,0.0,top
