Designator,Footprint,Quantity,Value,LCSC Part #
B+1,2_3-1.5_2.5_1_1,1,B+,
B-1,2_3-1.5_2.5_1_1,1,B-,
"C1, C2",C_0201_JLC,2,12pF,
C10,C_0201_JLC,1,100pF,
"C11, C1I1, C2I1, C5, C7",C_0201_JLC,5,100nF,
"C12, C13",C_0402_JLC,2,1uF,
"C14, C8, C9",C_0201_JLC,3,0.8pF +-5%,
"C18, C19, C6",C_0201_JLC,3,4.7uF,
"C1N1, C1N2, C1N3",C_0402_JLC,3,10uF,
C1N4,C_0201_JLC,1,47pF,
C2R2,C_0201_JLC,1,10nf,
C3,C_0201_JLC,1,1pF +-5% NP0,
"C3R1, C3R2",C_0201_JLC,2,1uF,
C4,C_0201_JLC,1,1.2pF +-5%,
D1,SON-6_L1.5-W1.0-P0.50-BL_SN74LVC1G19DRYR,1,TPD3E001DRYR-TP,C1973987
L1,0201,1,4.7nH +-5% HF,
L2,0201,1,2.2nH +-5% HF,
L3,L0603,1,LQM18FN1R0M00D,
"R1, R1C3, R2, R2C1, R2C2, R2C3",R_0201_JLC,6,5.1k,
"R1C1, R1R1",R_0201_JLC,2,20k,
"R1D1, R1D2",R_0201_JLC,2,5.6M,
"R2D1, R2D2",R_0201_JLC,2,3.3M,
S1,SW-SMD_GT-TC020B-H035-L05,1,GT-TC020B-H035-L05,
SW1,SW-SMD_4P-L2.6-W1.6-P0.75-LS3.0,1,1TS026A-1100-0550-CT,C913779
T1,LED-ARRAY-SMD_4P-L0.80-W0.80-BR,1,~,
TP1,Paw-Connect_RevB_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,~,
U1,ANT-SMD_6P-L1.6-W0.8-L,1,ANT162442ST-1000AM1,C5119334
U2,QFN-40_L5.0-W5.0-P0.40-TL-EP3.6,1,NRF52833-QDAA-R,C2895249
U3,ICM-42688-P,1,ICM-45686,
U5,DFN-4_L1.0-W1.0-P0.65-BL-EP,1,SSP7615-33DFR,C3011523
U6,DFN-8_L2.0-W2.0-P0.50-TL-EP1.6,1,~,
U7,DFN-6_L1.5-W1.5-P0.50-BL-EP1.0,1,EA8103,
USB1,USB-C-SMD_TYPE-C-16P-CB0.8-073,1,TYPE-C 16P CB0.8 073,C2906289
X1,CRYSTAL-SMD_4P-L1.6-W1.2-BL,1,XL4EL89CKI-111YLC-32M,C18213028
X2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,SX2M32.768KM20F30TNN,
